Player,Position,Team,Age,Year of Birth,Matches Played,Starts,Minutes Played,90 Minutes Played,Goals,Assists,Non-Penalty Goals,Penalties Converted,Penalties Taken,Yellow Cards,Red Cards,Goals per 90 Minutes,Assists per 90 Minutes,Goals and Assists per 90 Minutes,Goals excluding Penalties per 90 Minutes,Goals and Assists excluding Penalties per 90 Minutes,Expected xG,Expected Non-Penalty xG,Expected xAG,Expected Non-Penalty xG and xAG,xG,xAG,xG and xAG,Non-Penalty xG,Non-Penalty xG and xAG
Denis Odoi,DF,Ghana,34,1988,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Okafor,"FW,MF",Switzerland,22,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.09,0.14,0.05,0.14
Mathías Olivera,DF,Uruguay,24,1997,3,3,253,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.15,0.18,0.03,0.18
Dani Olmo,FW,Spain,24,1998,4,4,367,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,1.4,1.4,0.5,1.9,0.34,0.11,0.46,0.34,0.46
Amadou Onana,MF,Belgium,20,2001,2,1,104,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4
André Onana,GK,Cameroon,26,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaël Ondoua,MF,Cameroon,26,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loïs Openda,FW,Belgium,22,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mislav Orši?,FW,Croatia,29,1992,6,1,162,1.8,1,2,1,0,0,0,0,0.56,1.11,1.67,0.56,1.67,0.4,0.4,1.1,1.4,0.23,0.68,0.9,0.23,0.9
Jonathan Osorio,"MF,FW",Canada,30,1992,3,1,119,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Nicolás Otamendi,DF,Argentina,34,1988,7,7,690,7.7,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,0,0,0.2,0.2,0,0.02,0.03,0,0.03
Otávio,MF,Portugal,27,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23
Samuel Oum Gouet,MF,Cameroon,24,1997,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzedine Ounahi,MF,Morocco,22,2000,7,6,568,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13
Bryan Oviedo,DF,Costa Rica,32,1990,3,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Al-Owais,GK,Saudi Arabia,30,1991,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,27,1995,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0,0.5,0.46,0,0.46,0.46,0.46
Exequiel Palacios,"MF,DF",Argentina,23,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.12,0.12,0.24,0.12,0.24
João Palhinha,MF,Portugal,26,1995,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0.3,0.36,0.06,0.36
Lucas Paquetá,MF,Brazil,24,1997,4,4,314,3.5,1,1,1,0,0,0,0,0.29,0.29,0.57,0.29,0.57,0.8,0.8,1.5,2.3,0.24,0.43,0.67,0.24,0.67
Leandro Paredes,MF,Argentina,27,1994,5,2,225,2.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03
Thomas Partey,MF,Ghana,29,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.07,0.02,0.09,0.07,0.09
Mario Pašali?,"FW,MF",Croatia,27,1995,7,2,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17
Benjamin Pavard,DF,France,26,1996,1,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strahinja Pavlovi?,DF,Serbia,21,2001,3,3,235,2.6,1,0,1,0,0,2,0,0.38,0,0.38,0.38,0.38,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07
Pedri,MF,Spain,19,2002,4,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.22,0.22,0,0.22
Pedro,FW,Brazil,24,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1.39,0,1.39,1.39,1.39
Facundo Pellistri,"MF,FW",Uruguay,20,2001,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.08,0.09,0.17,0.08,0.17
Pepe,DF,Portugal,39,1983,4,4,360,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11
Danilo Pereira,DF,Portugal,30,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Periši?,"FW,DF",Croatia,33,1989,7,7,669,7.4,1,3,1,0,0,0,0,0.13,0.4,0.54,0.13,0.54,0.9,0.9,0.9,1.8,0.13,0.12,0.25,0.13,0.25
Bruno Petkovi?,FW,Croatia,27,1994,6,1,234,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.1,0.1,0.3,0.5,0.05,0.15,0.2,0.05,0.2
Germán Pezzella,DF,Argentina,30,1991,3,0,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.24,0,0.24,0.24,0.24
Kalvin Phillips,MF,England,26,1995,2,0,42,0.5,0,1,0,0,0,0,0,0,2.14,2.14,0,2.14,0,0,0.1,0.1,0,0.17,0.17,0,0.17
Krzysztof Pi?tek,FW,Poland,26,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09
Jordan Pickford,GK,England,28,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orbelín Pineda,MF,Mexico,26,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.38,0.07,0.45,0.38,0.45
Gonzalo Plata,"MF,FW",Ecuador,21,2000,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11
Jackson Porozo,DF,Ecuador,21,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Morteza Pouraliganji,DF,Iran,30,1992,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.03,0.07,0.09,0.03,0.09
Ángelo Preciado,DF,Ecuador,24,1998,3,3,264,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.4,0.5,0.02,0.14,0.17,0.02,0.17
Christian Pulisic,"FW,MF",USA,23,1998,4,4,315,3.5,1,2,1,0,0,0,0,0.29,0.57,0.86,0.29,0.86,1.1,1.1,0.9,2,0.3,0.26,0.56,0.3,0.56
Adrien Rabiot,MF,France,27,1995,6,5,483,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,1.1,1.1,0.9,1.9,0.2,0.16,0.36,0.2,0.36
Nemanja Radonji?,"DF,FW",Serbia,26,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0.05,0.19,0.15,0.19
Baba Rahman,DF,Ghana,27,1994,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.15,0.15,0,0.15
Gonçalo Ramos,"FW,MF",Portugal,20,2001,4,2,152,1.7,3,1,3,0,0,0,0,1.78,0.59,2.37,1.78,2.37,1.6,1.6,0.4,1.9,0.93,0.21,1.13,0.93,1.13
Aaron Ramsey,MF,Wales,31,1990,3,3,266,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Raphinha,FW,Brazil,25,1996,5,4,315,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,1.2,1.2,1.3,2.5,0.35,0.38,0.72,0.35,0.72
Marcus Rashford,FW,England,24,1997,5,1,140,1.6,3,0,3,0,0,0,0,1.93,0,1.93,1.93,1.93,1.6,1.6,0,1.6,1.03,0,1.03,1.03,1.03
David Raum,DF,Germany,24,1998,3,3,242,2.7,0,1,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0.6,0.6,0,0.22,0.22,0,0.22
Bassam Al-Rawi,DF,Qatar,24,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
Tim Ream,DF,USA,34,1987,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.07,0,0.07,0.07,0.07
Djorkaeff Reasco,FW,Ecuador,23,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gio Reyna,FW,USA,19,2002,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.1,0.28,0.38,0.1,0.38
Ramin Rezaeian,DF,Iran,32,1990,2,2,180,2,1,0,1,0,0,1,0,0.5,0,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.13,0.14,0.27,0.13,0.27
Everton Ribeiro,MF,Brazil,33,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.21,0.21,0,0.21
Declan Rice,MF,England,23,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Richarlison,FW,Brazil,25,1997,4,4,323,3.6,3,0,3,0,0,0,0,0.84,0,0.84,0.84,0.84,2.1,2.1,1,3.1,0.59,0.27,0.86,0.59,0.86
Fabian Rieder,FW,Switzerland,20,2002,2,1,68,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.25,0.25,0,0.25
Ró-Ró,DF,Qatar,31,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Connor Roberts,DF,Wales,26,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.16,0.16,0,0.16
Antonee Robinson,DF,USA,24,1997,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.07,0.07,0,0.07
Sergio Rochet,GK,Uruguay,29,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Rodon,DF,Wales,24,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,DF,Spain,25,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.04,0.05,0.01,0.05
Charly Rodríguez,MF,Mexico,25,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guido Rodríguez,MF,Argentina,28,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Rodríguez,FW,Ecuador,22,2000,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ricardo Rodríguez,DF,Switzerland,29,1992,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0.04,0,0.04
Rodrygo,"MF,FW",Brazil,21,2001,5,1,181,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0.4,0.4,0.9,0.26,0.25,0.52,0.26,0.52
Mohamed Ali Ben Romdhane,MF,Tunisia,22,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Romero,DF,Argentina,24,1998,7,6,547,6.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,Portugal,37,1985,5,3,290,3.2,1,0,0,1,1,0,0,0.31,0,0.31,0,0,1.6,0.8,0.1,1,0.51,0.04,0.55,0.26,0.3
Marten de Roon,MF,Netherlands,31,1991,5,3,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kye Rowles,DF,Australia,23,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,DF,Germany,29,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.25,0,0.25,0.25,0.25
Bryan Ruiz,MF,Costa Rica,36,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,GK,Australia,30,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Youssouf Sabaly,DF,Senegal,29,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.01,0.16,0.18,0.01,0.18
